open_time,open,high,low,close,volume
2026-06-27T09:00:00+00:00,60497.06000000,60497.06000000,60311.68000000,60416.20000000,0.02571000
2026-06-27T10:00:00+00:00,60435.68000000,60460.30000000,60329.70000000,60382.12000000,0.61043000
2026-06-27T11:00:00+00:00,60441.62000000,60447.49000000,60191.41000000,60363.31000000,3.66994000
2026-06-27T12:00:00+00:00,60348.59000000,60465.07000000,60282.35000000,60416.61000000,4.08891000
2026-06-27T13:00:00+00:00,60436.65000000,60634.70000000,60393.26000000,60582.45000000,0.14444000
2026-06-27T14:00:00+00:00,60518.61000000,60717.34000000,60518.61000000,60637.27000000,0.15227000
2026-06-27T15:00:00+00:00,60599.06000000,60914.55000000,60599.06000000,60840.98000000,1.22780000
2026-06-27T16:00:00+00:00,60836.68000000,60848.96000000,60689.82000000,60812.57000000,0.19463000
2026-06-27T17:00:00+00:00,60804.12000000,60804.12000000,60437.67000000,60527.67000000,4.53998000
2026-06-27T18:00:00+00:00,60525.98000000,60567.99000000,60456.18000000,60543.13000000,0.11953000
2026-06-27T19:00:00+00:00,60598.24000000,60600.54000000,60095.81000000,60177.02000000,0.48273000
2026-06-27T20:00:00+00:00,60226.56000000,60300.99000000,60219.96000000,60258.52000000,0.16990000
2026-06-27T21:00:00+00:00,60286.31000000,60477.88000000,60144.09000000,60186.01000000,0.19251000
2026-06-27T22:00:00+00:00,60201.89000000,60249.57000000,59871.78000000,60223.89000000,0.47859000
2026-06-27T23:00:00+00:00,60239.25000000,60298.28000000,59976.29000000,60034.55000000,0.22388000
2026-06-28T00:00:00+00:00,60065.00000000,60197.46000000,60031.59000000,60184.41000000,0.09709000
2026-06-28T01:00:00+00:00,60150.64000000,60261.07000000,60000.00000000,60219.26000000,7.37775000
2026-06-28T02:00:00+00:00,60226.33000000,60342.79000000,60057.71000000,60165.81000000,0.51957000
2026-06-28T03:00:00+00:00,60185.22000000,60281.19000000,60165.68000000,60165.68000000,0.09339000
2026-06-28T04:00:00+00:00,60209.16000000,60233.39000000,60127.62000000,60147.65000000,0.08453000
2026-06-28T05:00:00+00:00,60129.00000000,60143.69000000,59786.33000000,59987.74000000,3.73250000
2026-06-28T06:00:00+00:00,60009.68000000,60020.27000000,59827.52000000,60004.05000000,3.45256000
2026-06-28T07:00:00+00:00,60024.91000000,60233.34000000,60024.91000000,60201.93000000,0.04769000
2026-06-28T08:00:00+00:00,60239.74000000,60520.37000000,60177.43000000,60432.77000000,0.03299000
2026-06-28T09:00:00+00:00,60296.00000000,60446.74000000,60281.65000000,60281.65000000,0.04966000
2026-06-28T10:00:00+00:00,60256.06000000,60269.38000000,60075.00000000,60194.16000000,0.18190000
2026-06-28T11:00:00+00:00,60178.84000000,60362.95000000,60129.57000000,60362.95000000,0.27796000
2026-06-28T12:00:00+00:00,60332.87000000,60437.67000000,60211.31000000,60275.62000000,0.07435000
2026-06-28T13:00:00+00:00,60213.16000000,60230.32000000,59994.38000000,60114.50000000,0.91267000
2026-06-28T14:00:00+00:00,60084.69000000,60208.51000000,60043.17000000,60092.59000000,0.06403000
2026-06-28T15:00:00+00:00,60037.22000000,60097.48000000,59816.48000000,59866.71000000,1.04241000
2026-06-28T16:00:00+00:00,59905.98000000,59945.00000000,59581.37000000,59695.13000000,0.60592000
2026-06-28T17:00:00+00:00,59684.05000000,59837.16000000,59362.16000000,59578.48000000,7.28400000
2026-06-28T18:00:00+00:00,59594.82000000,59695.71000000,59500.42000000,59596.10000000,0.25882000
2026-06-28T19:00:00+00:00,59625.56000000,59658.45000000,59264.90000000,59480.42000000,3.74224000
2026-06-28T20:00:00+00:00,59489.82000000,59737.04000000,59489.82000000,59643.07000000,0.42682000
2026-06-28T21:00:00+00:00,59663.21000000,59764.64000000,59356.18000000,59408.51000000,3.71434000
2026-06-28T22:00:00+00:00,59458.51000000,59894.48000000,58938.36000000,59066.34000000,7.55284000
2026-06-28T23:00:00+00:00,59013.85000000,59835.77000000,59013.85000000,59523.42000000,0.69584000
2026-06-29T00:00:00+00:00,59582.85000000,59643.48000000,59030.00000000,59643.48000000,1.19044000
2026-06-29T01:00:00+00:00,59671.06000000,59689.11000000,59220.42000000,59474.14000000,0.48902000
